,dataset,references,samples,f1 macro,f1 micro,matthews corrcoef,precision score,recall score,accuracy score
0,unseen_answers,1,579,0.6924024658908237,0.6972538513060951,0.38797762119107065,0.6202761627906976,0.6910931174089069,0.6972538513060951
1,unseen_answers,2,56,0.7610217252977003,0.7698744769874478,0.534680265155346,0.8023255813953488,0.6448598130841121,0.7698744769874477
2,unseen_answers,3,49,0.754180602006689,0.7551020408163265,0.5314712163311296,0.6538461538461539,0.85,0.7551020408163265
3,unseen_answers,4,121,0.903947463375911,0.9090909090909091,0.8113287700912883,0.8367346938775511,0.9318181818181818,0.9090909090909091
4,unseen_answers,5,94,0.8894308943089431,0.8941176470588236,0.781268978072097,0.8297872340425532,0.9069767441860465,0.8941176470588236
5,unseen_answers,6,47,0.7701246404602109,0.7716049382716049,0.5723011903692432,0.6511627906976745,0.8888888888888888,0.7716049382716049
6,unseen_answers,7,12,0.739247311827957,0.7731958762886598,0.47928780561612766,0.8461538461538461,0.8208955223880597,0.7731958762886598
7,unseen_answers,9,10,0.7619047619047619,0.8000000000000002,0.6123724356957946,0.75,1.0,0.8
8,unseen_answers,14,11,0.45,0.8181818181818182,0.0,0.0,0.0,0.8181818181818182
9,unseen_questions,1,831,0.6924024658908237,0.6972538513060951,0.38797762119107065,0.6202761627906976,0.6910931174089069,0.6972538513060951
10,unseen_questions,2,183,0.7610217252977003,0.7698744769874478,0.534680265155346,0.8023255813953488,0.6448598130841121,0.7698744769874477
11,unseen_questions,5,246,0.8894308943089431,0.8941176470588236,0.781268978072097,0.8297872340425532,0.9069767441860465,0.8941176470588236
12,unseen_questions,6,115,0.7701246404602109,0.7716049382716049,0.5723011903692432,0.6511627906976745,0.8888888888888888,0.7716049382716049
13,unseen_questions,7,85,0.739247311827957,0.7731958762886598,0.47928780561612766,0.8461538461538461,0.8208955223880597,0.7731958762886598
14,unseen_questions,10,92,0.37144911902193456,0.3804347826086957,-0.18654174000135476,0.6052631578947368,0.35384615384615387,0.3804347826086957
15,unseen_domains,1,4562,0.6924024658908237,0.6972538513060951,0.38797762119107065,0.6202761627906976,0.6910931174089069,0.6972538513060951
