,dataset,references,samples,f1 macro,f1 micro,matthews corrcoef,precision score,recall score,accuracy score
0,unseen_answers,1,579,0.578973621968774,0.5892498325519089,0.3046359453972076,0.5019165727170237,0.9012145748987854,0.5892498325519089
1,unseen_answers,2,56,0.7238058551617872,0.7238493723849372,0.4599857096688632,0.6589147286821705,0.794392523364486,0.7238493723849372
2,unseen_answers,3,49,0.7329140461215933,0.7346938775510203,0.5782544988262073,0.6060606060606061,1.0,0.7346938775510204
3,unseen_answers,4,121,0.8489178690344061,0.8512396694214878,0.7374135894078152,0.7096774193548387,1.0,0.8512396694214877
4,unseen_answers,5,94,0.7925021795989537,0.7941176470588235,0.623514253858645,0.6629834254143646,0.9302325581395349,0.7941176470588235
5,unseen_answers,6,47,0.6788165319505872,0.6790123456790124,0.4458716492245004,0.5533980582524272,0.9047619047619048,0.6790123456790124
6,unseen_answers,7,12,0.7679099225897256,0.8247422680412371,0.568969985902623,0.8205128205128205,0.9552238805970149,0.8247422680412371
7,unseen_answers,9,10,0.7619047619047619,0.8000000000000002,0.6123724356957946,0.75,1.0,0.8
8,unseen_answers,14,11,0.3125,0.45454545454545453,0.0,0.0,0.0,0.45454545454545453
9,unseen_questions,1,831,0.578973621968774,0.5892498325519089,0.3046359453972076,0.5019165727170237,0.9012145748987854,0.5892498325519089
10,unseen_questions,2,183,0.7238058551617872,0.7238493723849372,0.4599857096688632,0.6589147286821705,0.794392523364486,0.7238493723849372
11,unseen_questions,5,246,0.7925021795989537,0.7941176470588235,0.623514253858645,0.6629834254143646,0.9302325581395349,0.7941176470588235
12,unseen_questions,6,115,0.6788165319505872,0.6790123456790124,0.4458716492245004,0.5533980582524272,0.9047619047619048,0.6790123456790124
13,unseen_questions,7,85,0.7679099225897256,0.8247422680412371,0.568969985902623,0.8205128205128205,0.9552238805970149,0.8247422680412371
14,unseen_questions,10,92,0.47291666666666665,0.5217391304347826,-0.04180289161627156,0.6909090909090909,0.5846153846153846,0.5217391304347826
15,unseen_domains,1,4562,0.578973621968774,0.5892498325519089,0.3046359453972076,0.5019165727170237,0.9012145748987854,0.5892498325519089
