,dataset,references,samples,f1 macro,f1 micro,matthews corrcoef,precision score,recall score,accuracy score
0,unseen_answers,1,579,0.6574602553406097,0.6687876758204957,0.315033528921342,0.6018211920529801,0.588663967611336,0.6687876758204957
1,unseen_answers,2,56,0.7214452214452214,0.7322175732217574,0.45605062329752216,0.7529411764705882,0.5981308411214953,0.7322175732217573
2,unseen_answers,3,49,0.6507337526205451,0.6530612244897959,0.3152995291836768,0.56,0.7,0.6530612244897959
3,unseen_answers,4,121,0.6967418546365916,0.7107438016528925,0.3985266984930429,0.5882352941176471,0.6818181818181818,0.7107438016528925
4,unseen_answers,5,94,0.6408301918057915,0.7,0.32922129011396034,0.684931506849315,0.3875968992248062,0.7
5,unseen_answers,6,47,0.6613240418118467,0.6851851851851852,0.32540960829244303,0.6071428571428571,0.5396825396825397,0.6851851851851852
6,unseen_answers,7,12,0.4221276595744681,0.422680412371134,0.017444156980385272,0.7037037037037037,0.2835820895522388,0.422680412371134
7,unseen_answers,9,10,0.6969696969696968,0.7,0.408248290463863,0.8,0.6666666666666666,0.7
8,unseen_answers,14,11,0.47619047619047616,0.9090909090909091,0.0,0.0,0.0,0.9090909090909091
9,unseen_questions,1,831,0.6574602553406097,0.6687876758204957,0.315033528921342,0.6018211920529801,0.588663967611336,0.6687876758204957
10,unseen_questions,2,183,0.7214452214452214,0.7322175732217574,0.45605062329752216,0.7529411764705882,0.5981308411214953,0.7322175732217573
11,unseen_questions,5,246,0.6408301918057915,0.7,0.32922129011396034,0.684931506849315,0.3875968992248062,0.7
12,unseen_questions,6,115,0.6613240418118467,0.6851851851851852,0.32540960829244303,0.6071428571428571,0.5396825396825397,0.6851851851851852
13,unseen_questions,7,85,0.4221276595744681,0.422680412371134,0.017444156980385272,0.7037037037037037,0.2835820895522388,0.422680412371134
14,unseen_questions,10,92,0.4990530303030303,0.5,0.26185110635499564,0.9130434782608695,0.3230769230769231,0.5
15,unseen_domains,1,4562,0.6574602553406097,0.6687876758204957,0.315033528921342,0.6018211920529801,0.588663967611336,0.6687876758204957
